Type,Region Name,Size,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_DRAM,gDmmDramRegion1,500000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_DRAM,gDmmDramRegion2,25000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_DRAM,gDmmDramRegion3,150000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_DRAM,gDmmDramRegion4,4600,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_IRAM,gDmmIramRegion1,120000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_IRAM,gDmmIramRegion2,8500,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_IRAM,gDmmIramRegion3,40000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_IRAM,gDmmIramRegion4,0,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_SYSRAM,gDmmSysramRegion1,50000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_SYSRAM,gDmmSysramRegion2,0,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_SYSRAM,gDmmSysramRegion3,0,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_SYSRAM,gDmmSysramRegion4,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TotalComponentType_t,,,,,,,,,,,,,,,,,
A2DP,,,,,,,,,,,,,,,,,
HFP,,,,,,,,,,,,,,,,,
LE_AUDIO,,,,,,,,,,,,,,,,,
LE_CALL,,,,,,,,,,,,,,,,,
LINEIN,,,,,,,,,,,,,,,,,
USB,,,,,,,,,,,,,,,,,
ESA,,,,,,,,,,,,,,,,,
MULTI_MIC,,,,,,,,,,,,,,,,,
OPT,,,,,,,,,,,,,,,,,
WIRED_AUDIO,,,,,,,,,,,,,,,,,
WWE,,,,,,,,,,,,,,,,,
RECORD,,,,,,,,,,,,,,,,,
VP,,,,,,,,,,,,,,,,,
1,A2DP,4,,A2DP_PEQ2,FUNC_PEQ2,AIR_PEQ_ENABLE = y,,gDmmIramRegion1,0,,gDmmDramRegion1,6536,,gDmmSysramRegion1,0,,5696(working buffer)
1,A2DP,4,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,A2DP,5,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,A2DP,5,,A2DP_DRC,FUNC_DRC,AIR_DRC_ENABLE = y,,gDmmIramRegion1,6989,,gDmmDramRegion1,9280,,gDmmSysramRegion1,0,,1872(PIC)+7408(working buffer)
1,A2DP,5,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,A2DP,6,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,A2DP,6,,A2DP_CLK_SKEW,FUNC_CLK_SKEW_DL,,,gDmmIramRegion1,7673,,gDmmDramRegion1,10116,,gDmmSysramRegion1,0,,912(PIC)+9204(working buffer)
1,A2DP,6,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,A2DP,7,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,A2DP,7,,A2DP_FW,,,,gDmmIramRegion1,0,,gDmmDramRegion1,80,,gDmmSysramRegion1,0,,Stream feature: 16(sizeof feature table)*5(Feature number)
1,A2DP,7,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,A2DP,8,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,A2DP,8,,A2DP_STREAM_IN,,,,gDmmIramRegion1,0,,gDmmDramRegion1,1024,,gDmmSysramRegion1,0,,1024(callback in_malloc_size) *1( channel number)
1,A2DP,8,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,A2DP,9,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,A2DP,9,,A2DP_STREAM_OUT,,,,gDmmIramRegion1,0,,gDmmDramRegion1,8192,,gDmmSysramRegion1,0,,callback stream buffer:1024(sample)* 4(byte/sample)* 2 channel
1,A2DP,9,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,A2DP,,Tail,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,0,Head,,,,,gDmmIramRegion1,0,,gDmmDramRegion1,128,,gDmmSysramRegion1,0,,
1,HFP,1,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,1,,HFP_MSBC_DEC,CODEC_DECODER_MSBC,AIR_BT_HFP_MSBC_ENABLE = y,,gDmmIramRegion1,8800,DSP_PREDEFINE_HFP_MSBC_DEC_IRAM,gDmmDramRegion1,9552,DSP_PREDEFINE_HFP_MSBC_DEC_DRAM,gDmmSysramRegion1,0,DSP_PREDEFINE_HFP_MSBC_DEC_SYSRAM,"8665(PIC-code), 5136(PIC-data), 4264(working buffer)"
1,HFP,1,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,2,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,2,,HFP_PLC,FUNC_PLC,AIR_VOICE_PLC_ENABLE = y,,gDmmIramRegion1,9800,DSP_PREDEFINE_HFP_PLC_IRAM,gDmmDramRegion1,6944,DSP_PREDEFINE_HFP_PLC_DRAM,gDmmSysramRegion1,0,DSP_PREDEFINE_HFP_PLC_SYSRAM,"9613(PIC-code), 1124(PIC-data), 5648(working buffer)"
1,HFP,2,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,3,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,3,,HFP_ECNR_LIB,FUNC_RX_NR,AIR_VOICE_NR_ENABLE = y,,gDmmIramRegion1,62000,DSP_PREDEFINE_HFP_ECNR_LIB_IRAM,gDmmDramRegion1,258000,DSP_PREDEFINE_HFP_ECNR_LIB_DRAM,gDmmSysramRegion1,0,DSP_PREDEFINE_HFP_ECNR_LIB_SYSRAM,"Inhouse part: 40089(PIC-code), 12944(PIC-data)
AINR part: 21521(PIC-code), 244428(PIC-data)"
1,HFP,3,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,4,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,4,,HFP_VOICE_DRC_LIB,FUNC_RX_WB_DRC,AIR_VOICE_DRC_ENABLE = y,,gDmmIramRegion1,7200,DSP_PREDEFINE_HFP_DRC_LIB_IRAM,gDmmDramRegion1,2000,DSP_PREDEFINE_HFP_DRC_LIB_DRAM,gDmmSysramRegion1,0,DSP_PREDEFINE_HFP_DRC_LIB_SYSRAM,"6989(PIC-code), 1872(PIC-data)"
1,HFP,4,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,5,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,5,,HFP_CLK_SKEW_LIB,FUNC_CLK_SKEW_HFP_DL,,,gDmmIramRegion1,6700,DSP_PREDEFINE_HFP_CLKSKEW_LIB_IRAM,gDmmDramRegion1,1200,DSP_PREDEFINE_HFP_CLKSKEW_LIB_DRAM,gDmmSysramRegion1,0,DSP_PREDEFINE_HFP_CLKSKEW_LIB_SYSRAM,"6393(PIC-code), 912(PIC-data)"
1,HFP,5,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,6,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,6,,HFP_MSBC_ENC,CODEC_ENCODER_MSBC,AIR_BT_HFP_MSBC_ENABLE = y,,gDmmIramRegion1,5000,DSP_PREDEFINE_HFP_MSBC_ENC_IRAM,gDmmDramRegion1,3500,DSP_PREDEFINE_HFP_MSBC_ENC_DRAM,gDmmSysramRegion1,0,DSP_PREDEFINE_HFP_MSBC_ENC_SYSRAM,"4853(PIC-code), 2048(PIC-data), 1256(working buffer)"
1,HFP,6,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,7,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,7,,HFP_CLKSKEW_DL,FUNC_CLK_SKEW_HFP_DL,,,gDmmIramRegion1,0,DSP_PREDEFINE_HFP_CLKSKEW_DL_IRAM,gDmmDramRegion1,1300,DSP_PREDEFINE_HFP_CLKSKEW_DL_DRAM,gDmmSysramRegion1,0,DSP_PREDEFINE_HFP_CLKSKEW_DL_SYSRAM,1192(working buffer)
1,HFP,7,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,8,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
