Feature Name, Flash, SYSRAM, TCM, FLash, IRAM, DRAM
1-MIC_NR,1435924,130228,279912,547272,33688,146064
2+1_EC_NR,1436628,130228,280424,,,
1+1_EC_NR,1436620,130228,280424,549712,33824,146080
